unit_id,powiat,wojewodztwo,rok,unemployment_rate,crimes_total_per_1000,property_crimes_per_1000,violent_crimes_per_1000,crime_minus_unemployment
051011701000,Powiat bełchatowski,Nieznane,2020,3.8,14.56,5.24,0.45,10.760000000000002
051011701000,Powiat bełchatowski,Nieznane,2021,3.5,17.41,8.85,0.37,13.91
051011701000,Powiat bełchatowski,Nieznane,2022,4.8,16.16,7.02,0.49,11.36
051011701000,Powiat bełchatowski,Nieznane,2023,4.7,17.6,7.22,0.3,12.900000000000002
051011701000,Powiat bełchatowski,Nieznane,2024,4.9,16.79,9.25,0.26,11.889999999999999
060610901000,Powiat bialski,Lubelskie,2014,6.4,13.89,4.94,0.41,7.49
060610901000,Powiat bialski,Lubelskie,2015,5.5,14.42,4.74,0.35,8.92
060610901000,Powiat bialski,Lubelskie,2016,5.1,12.95,4.19,0.45,7.85
060610901000,Powiat bialski,Lubelskie,2017,5.1,12.72,3.2,0.38,7.620000000000001
060610901000,Powiat bialski,Lubelskie,2018,4.9,18.1,3.32,0.49,13.200000000000001
060610901000,Powiat bialski,Lubelskie,2019,4.8,15.4,4.62,0.24,10.600000000000001
060610901000,Powiat bialski,Lubelskie,2020,5.5,15.88,4.03,0.34,10.38
060610901000,Powiat bialski,Lubelskie,2021,4.4,16.27,4.27,0.26,11.87
060610901000,Powiat bialski,Lubelskie,2022,5.8,15.5,4.43,0.27,9.7
060610901000,Powiat bialski,Lubelskie,2023,4.0,14.1,3.86,0.32,10.1
060610901000,Powiat bialski,Lubelskie,2024,5.0,14.04,3.64,0.31,9.04
071422701000,Powiat białobrzeski,Nieznane,2014,5.1,16.81,6.47,0.56,11.709999999999999
071422701000,Powiat białobrzeski,Nieznane,2015,6.5,14.76,6.29,0.57,8.26
071422701000,Powiat białobrzeski,Nieznane,2016,5.1,12.73,5.54,0.42,7.630000000000001
071422701000,Powiat białobrzeski,Nieznane,2017,4.6,10.44,4.11,0.36,5.84
071422701000,Powiat białobrzeski,Nieznane,2018,5.8,12.67,5.28,0.33,6.87
071422701000,Powiat białobrzeski,Nieznane,2019,6.4,13.27,4.83,0.39,6.869999999999999
071422701000,Powiat białobrzeski,Nieznane,2020,5.1,13.73,4.92,0.15,8.63
071422701000,Powiat białobrzeski,Nieznane,2021,4.7,12.39,5.3,0.33,7.69
071422701000,Powiat białobrzeski,Nieznane,2022,8.3,18.12,10.32,0.18,9.82
071422701000,Powiat białobrzeski,Nieznane,2023,6.0,13.47,6.21,0.15,7.470000000000001
071422701000,Powiat białobrzeski,Nieznane,2024,5.7,15.17,5.15,0.25,9.469999999999999
023216301000,Powiat białogardzki,Dolnoslaskie,2014,3.3,23.58,13.2,0.49,20.279999999999998
023216301000,Powiat białogardzki,Dolnoslaskie,2015,3.4,28.04,11.52,0.47,24.64
023216301000,Powiat białogardzki,Dolnoslaskie,2016,2.8,18.37,8.19,0.6,15.57
023216301000,Powiat białogardzki,Dolnoslaskie,2017,2.9,18.05,7.87,0.48,15.15
023216301000,Powiat białogardzki,Dolnoslaskie,2018,2.5,17.86,6.97,0.71,15.36
023216301000,Powiat białogardzki,Dolnoslaskie,2019,2.3,37.7,28.24,0.44,35.400000000000006
023216301000,Powiat białogardzki,Dolnoslaskie,2020,2.0,14.53,6.46,0.35,12.53
023216301000,Powiat białogardzki,Dolnoslaskie,2021,2.2,17.56,7.01,0.44,15.36
023216301000,Powiat białogardzki,Dolnoslaskie,2022,2.7,24.07,15.93,0.22,21.37
023216301000,Powiat białogardzki,Dolnoslaskie,2023,2.9,18.82,9.1,0.54,15.92
023216301000,Powiat białogardzki,Dolnoslaskie,2024,2.3,17.13,7.04,0.27,14.829999999999998
062013702000,Powiat białostocki,Lubelskie,2014,5.3,11.3,5.57,0.48,6.000000000000001
062013702000,Powiat białostocki,Lubelskie,2015,4.6,9.88,4.56,0.36,5.280000000000001
062013702000,Powiat białostocki,Lubelskie,2016,3.7,11.59,4.71,0.45,7.89
062013702000,Powiat białostocki,Lubelskie,2017,3.3,10.33,4.87,0.51,7.03
062013702000,Powiat białostocki,Lubelskie,2018,3.9,9.27,4.07,0.39,5.369999999999999
062013702000,Powiat białostocki,Lubelskie,2019,3.4,10.02,4.05,0.34,6.619999999999999
062013702000,Powiat białostocki,Lubelskie,2020,2.7,12.04,4.35,0.38,9.34
062013702000,Powiat białostocki,Lubelskie,2021,2.5,14.93,5.29,0.31,12.43
062013702000,Powiat białostocki,Lubelskie,2022,3.8,13.87,5.52,0.32,10.07
062013702000,Powiat białostocki,Lubelskie,2023,3.5,11.76,5.27,0.33,8.26
062013702000,Powiat białostocki,Lubelskie,2024,2.9,10.05,4.36,0.27,7.15
012414402000,Powiat bielski,Nieznane,2014,4.1,17.19,7.37,0.54,13.090000000000002
062013803000,Powiat bielski,Lubelskie,2014,6.2,13.14,4.97,0.33,6.94
012414402000,Powiat bielski,Nieznane,2015,3.8,14.8,8.64,0.31,11.0
062013803000,Powiat bielski,Lubelskie,2015,4.9,13.4,6.79,0.28,8.5
012414402000,Powiat bielski,Nieznane,2016,4.0,12.55,6.36,0.51,8.55
062013803000,Powiat bielski,Lubelskie,2016,5.1,11.55,5.24,0.6,6.450000000000001
012414402000,Powiat bielski,Nieznane,2017,3.1,10.42,4.74,0.48,7.32
062013803000,Powiat bielski,Lubelskie,2017,5.1,13.54,4.77,0.5,8.44
012414402000,Powiat bielski,Nieznane,2018,2.8,10.75,4.71,0.47,7.95
062013803000,Powiat bielski,Lubelskie,2018,5.0,11.51,4.1,0.44,6.51
012414402000,Powiat bielski,Nieznane,2019,3.5,11.85,5.71,0.39,8.35
062013803000,Powiat bielski,Lubelskie,2019,4.8,15.92,8.5,0.49,11.120000000000001
012414402000,Powiat bielski,Nieznane,2020,4.1,16.61,10.62,0.24,12.51
062013803000,Powiat bielski,Lubelskie,2020,4.1,12.0,4.15,0.34,7.9
012414402000,Powiat bielski,Nieznane,2021,2.8,14.21,7.05,0.27,11.41
062013803000,Powiat bielski,Lubelskie,2021,4.1,12.19,4.21,0.38,8.09
012414402000,Powiat bielski,Nieznane,2022,5.2,26.7,20.29,0.26,21.5
062013803000,Powiat bielski,Lubelskie,2022,5.5,13.8,5.38,0.49,8.3
012414402000,Powiat bielski,Nieznane,2023,4.1,12.29,6.48,0.22,8.19
062013803000,Powiat bielski,Lubelskie,2023,5.8,12.07,5.62,0.37,6.2700000000000005
012414402000,Powiat bielski,Nieznane,2024,4.9,11.07,5.46,0.24,6.17
062013803000,Powiat bielski,Lubelskie,2024,5.2,11.5,5.37,0.38,6.3
012415114000,Powiat bieruńsko-lędziński,Nieznane,2014,7.6,27.96,9.33,0.32,20.36
012415114000,Powiat bieruńsko-lędziński,Nieznane,2015,6.6,14.52,7.06,0.37,7.92
012415114000,Powiat bieruńsko-lędziński,Nieznane,2016,4.6,22.17,5.72,0.42,17.57
012415114000,Powiat bieruńsko-lędziński,Nieznane,2017,3.9,21.57,9.86,0.37,17.67
012415114000,Powiat bieruńsko-lędziński,Nieznane,2018,5.7,16.81,9.21,0.37,11.11
012415114000,Powiat bieruńsko-lędziński,Nieznane,2019,5.6,16.36,4.86,0.23,10.76
012415114000,Powiat bieruńsko-lędziński,Nieznane,2020,5.1,13.83,7.73,0.32,8.73
012415114000,Powiat bieruńsko-lędziński,Nieznane,2021,2.9,16.22,8.77,0.29,13.319999999999999
012415114000,Powiat bieruńsko-lędziński,Nieznane,2022,8.2,13.59,6.53,0.4,5.390000000000001
012415114000,Powiat bieruńsko-lędziński,Nieznane,2023,6.7,14.01,7.42,0.49,7.31
012415114000,Powiat bieruńsko-lędziński,Nieznane,2024,6.4,15.44,7.76,0.4,9.04
061813301000,Powiat bieszczadzki,Lubelskie,2014,4.7,13.08,4.69,0.36,8.379999999999999
061813301000,Powiat bieszczadzki,Lubelskie,2015,5.5,11.66,4.43,0.27,6.16
061813301000,Powiat bieszczadzki,Lubelskie,2016,3.5,11.17,4.36,0.68,7.67
061813301000,Powiat bieszczadzki,Lubelskie,2017,2.7,14.14,4.2,0.68,11.440000000000001
061813301000,Powiat bieszczadzki,Lubelskie,2018,3.5,12.49,2.97,0.55,8.99
061813301000,Powiat bieszczadzki,Lubelskie,2019,3.6,14.45,4.91,0.37,10.85
061813301000,Powiat bieszczadzki,Lubelskie,2020,3.4,14.55,3.49,0.38,11.15
061813301000,Powiat bieszczadzki,Lubelskie,2021,3.5,11.82,4.81,0.14,8.32
061813301000,Powiat bieszczadzki,Lubelskie,2022,4.3,10.31,4.6,0.43,6.010000000000001
061813301000,Powiat bieszczadzki,Lubelskie,2023,4.1,14.3,6.42,0.58,10.200000000000001
061813301000,Powiat bieszczadzki,Lubelskie,2024,4.3,11.89,4.87,0.15,7.590000000000001
060611002000,Powiat biłgorajski,Lubelskie,2014,8.4,11.72,5.0,0.33,3.3200000000000003
060611002000,Powiat biłgorajski,Lubelskie,2015,9.0,9.4,3.88,0.26,0.40000000000000036
060611002000,Powiat biłgorajski,Lubelskie,2016,7.9,10.41,3.5,0.3,2.51
060611002000,Powiat biłgorajski,Lubelskie,2017,6.9,16.34,2.77,0.28,9.44
060611002000,Powiat biłgorajski,Lubelskie,2018,8.4,9.58,2.21,0.24,1.1799999999999997
060611002000,Powiat biłgorajski,Lubelskie,2019,7.7,13.12,4.66,0.22,5.419999999999999
060611002000,Powiat biłgorajski,Lubelskie,2020,7.2,8.96,2.9,0.2,1.7600000000000007
060611002000,Powiat biłgorajski,Lubelskie,2021,7.3,13.27,6.97,0.16,5.97
060611002000,Powiat biłgorajski,Lubelskie,2022,7.8,9.17,2.9,0.22,1.37
060611002000,Powiat biłgorajski,Lubelskie,2023,6.8,9.17,3.31,0.13,2.37
060611002000,Powiat biłgorajski,Lubelskie,2024,7.2,8.38,3.01,0.21,1.1800000000000006
011212001000,Powiat bocheński,Nieznane,2014,9.4,15.29,6.92,0.28,5.889999999999999
011212001000,Powiat bocheński,Nieznane,2015,8.3,14.39,6.32,0.28,6.09
011212001000,Powiat bocheński,Nieznane,2016,6.6,15.72,4.35,0.24,9.120000000000001
011212001000,Powiat bocheński,Nieznane,2017,3.4,20.11,3.97,0.19,16.71
011212001000,Powiat bocheński,Nieznane,2018,4.2,60.08,4.86,0.3,55.879999999999995
011212001000,Powiat bocheński,Nieznane,2019,5.5,19.06,7.17,0.17,13.559999999999999
011212001000,Powiat bocheński,Nieznane,2020,7.2,19.04,6.88,0.18,11.84
011212001000,Powiat bocheński,Nieznane,2021,4.4,31.83,6.01,0.17,27.43
011212001000,Powiat bocheński,Nieznane,2022,4.3,17.77,4.78,0.23,13.469999999999999
011212001000,Powiat bocheński,Nieznane,2023,6.2,14.38,5.72,0.23,8.18
011212001000,Powiat bocheński,Nieznane,2024,8.4,34.11,6.22,0.1,25.71
030210101000,Powiat bolesławiecki,Nieznane,2014,4.6,26.54,15.97,0.73,21.939999999999998
030210101000,Powiat bolesławiecki,Nieznane,2015,5.2,25.75,15.67,0.71,20.55
030210101000,Powiat bolesławiecki,Nieznane,2016,4.0,27.7,15.71,0.47,23.7
030210101000,Powiat bolesławiecki,Nieznane,2017,4.8,29.3,17.29,0.62,24.5
030210101000,Powiat bolesławiecki,Nieznane,2018,3.8,31.14,18.32,0.57,27.34
030210101000,Powiat bolesławiecki,Nieznane,2019,2.7,29.25,15.94,0.57,26.55
030210101000,Powiat bolesławiecki,Nieznane,2020,2.8,29.16,16.81,0.61,26.36
030210101000,Powiat bolesławiecki,Nieznane,2021,2.7,35.35,21.02,0.63,32.65
030210101000,Powiat bolesławiecki,Nieznane,2022,5.3,33.48,20.01,0.61,28.179999999999996
030210101000,Powiat bolesławiecki,Nieznane,2023,4.6,34.3,17.85,0.57,29.699999999999996
030210101000,Powiat bolesławiecki,Nieznane,2024,5.5,42.44,22.4,0.59,36.94
042815402000,Powiat braniewski,Kujawsko-Pomorskie,2014,3.8,20.63,8.06,1.01,16.83
042815402000,Powiat braniewski,Kujawsko-Pomorskie,2015,3.5,18.97,7.92,0.64,15.469999999999999
042815402000,Powiat braniewski,Kujawsko-Pomorskie,2016,2.6,18.94,7.0,1.05,16.34
042815402000,Powiat braniewski,Kujawsko-Pomorskie,2017,3.3,19.11,6.7,0.74,15.809999999999999
042815402000,Powiat braniewski,Kujawsko-Pomorskie,2018,3.3,17.92,6.14,0.77,14.620000000000001
042815402000,Powiat braniewski,Kujawsko-Pomorskie,2019,3.1,19.96,7.42,0.61,16.86
042815402000,Powiat braniewski,Kujawsko-Pomorskie,2020,3.1,24.77,9.63,0.49,21.669999999999998
042815402000,Powiat braniewski,Kujawsko-Pomorskie,2021,2.7,19.28,6.71,0.47,16.580000000000002
042815402000,Powiat braniewski,Kujawsko-Pomorskie,2022,4.5,19.33,7.97,0.66,14.829999999999998
042815402000,Powiat braniewski,Kujawsko-Pomorskie,2023,2.8,16.33,8.05,0.5,13.529999999999998
042815402000,Powiat braniewski,Kujawsko-Pomorskie,2024,3.3,13.85,6.21,0.35,10.55
040410702000,Powiat brodnicki,Kujawsko-Pomorskie,2014,5.6,13.75,5.68,0.33,8.15
040410702000,Powiat brodnicki,Kujawsko-Pomorskie,2015,5.3,10.8,5.8,0.24,5.500000000000001
040410702000,Powiat brodnicki,Kujawsko-Pomorskie,2016,4.9,11.81,5.83,0.29,6.91
040410702000,Powiat brodnicki,Kujawsko-Pomorskie,2017,2.9,10.11,4.46,0.24,7.209999999999999
040410702000,Powiat brodnicki,Kujawsko-Pomorskie,2018,3.9,11.4,5.29,0.22,7.5
040410702000,Powiat brodnicki,Kujawsko-Pomorskie,2019,5.8,14.86,7.47,0.18,9.059999999999999
040410702000,Powiat brodnicki,Kujawsko-Pomorskie,2020,3.2,17.92,6.15,0.37,14.720000000000002
040410702000,Powiat brodnicki,Kujawsko-Pomorskie,2021,4.5,18.77,5.5,0.19,14.27
040410702000,Powiat brodnicki,Kujawsko-Pomorskie,2022,8.0,14.55,5.77,0.29,6.550000000000001
040410702000,Powiat brodnicki,Kujawsko-Pomorskie,2023,5.9,15.44,7.14,0.26,9.54
040410702000,Powiat brodnicki,Kujawsko-Pomorskie,2024,5.3,16.26,5.34,0.21,10.96
011212402000,Powiat brzeski,Nieznane,2014,8.6,27.8,7.05,0.37,19.200000000000003
031613101000,Powiat brzeski,Nieznane,2014,2.5,27.26,15.36,0.95,24.76
011212402000,Powiat brzeski,Nieznane,2015,8.2,23.95,7.43,0.34,15.75
031613101000,Powiat brzeski,Nieznane,2015,2.6,20.21,10.35,0.89,17.61
011212402000,Powiat brzeski,Nieznane,2016,7.1,20.62,5.63,0.49,13.520000000000001
031613101000,Powiat brzeski,Nieznane,2016,2.7,21.65,10.93,0.74,18.95
011212402000,Powiat brzeski,Nieznane,2017,5.3,26.96,5.25,0.37,21.66
031613101000,Powiat brzeski,Nieznane,2017,1.9,21.77,10.45,0.86,19.87
011212402000,Powiat brzeski,Nieznane,2018,5.1,33.75,6.54,0.26,28.65
031613101000,Powiat brzeski,Nieznane,2018,2.7,21.21,10.58,0.87,18.51
011212402000,Powiat brzeski,Nieznane,2019,6.4,18.89,4.46,0.27,12.49
031613101000,Powiat brzeski,Nieznane,2019,3.5,17.28,8.49,0.56,13.780000000000001
011212402000,Powiat brzeski,Nieznane,2020,6.9,26.3,6.93,0.26,19.4
031613101000,Powiat brzeski,Nieznane,2020,2.3,17.29,9.96,0.5,14.989999999999998
011212402000,Powiat brzeski,Nieznane,2021,6.6,26.79,5.85,0.25,20.189999999999998
031613101000,Powiat brzeski,Nieznane,2021,2.1,21.9,12.95,0.42,19.799999999999997
011212402000,Powiat brzeski,Nieznane,2022,8.0,32.5,13.42,0.18,24.5
031613101000,Powiat brzeski,Nieznane,2022,3.7,21.46,11.38,0.47,17.76
011212402000,Powiat brzeski,Nieznane,2023,7.8,25.81,11.09,0.2,18.009999999999998
031613101000,Powiat brzeski,Nieznane,2023,3.3,21.69,13.17,0.49,18.39
011212402000,Powiat brzeski,Nieznane,2024,6.9,37.87,9.64,0.25,30.97
031613101000,Powiat brzeski,Nieznane,2024,4.1,15.85,9.78,0.47,11.75
051011521000,Powiat brzeziński,Nieznane,2014,4.2,16.18,7.09,0.45,11.98
051011521000,Powiat brzeziński,Nieznane,2015,4.8,26.16,7.15,0.42,21.36
051011521000,Powiat brzeziński,Nieznane,2016,4.5,16.49,6.72,0.39,11.989999999999998
051011521000,Powiat brzeziński,Nieznane,2017,4.0,14.7,6.05,0.39,10.7
051011521000,Powiat brzeziński,Nieznane,2018,2.0,13.26,4.96,0.19,11.26
051011521000,Powiat brzeziński,Nieznane,2019,3.9,18.89,6.88,0.16,14.99
051011521000,Powiat brzeziński,Nieznane,2020,3.6,16.04,5.46,0.16,12.44
051011521000,Powiat brzeziński,Nieznane,2021,2.2,15.56,5.43,0.13,13.36
051011521000,Powiat brzeziński,Nieznane,2022,2.9,20.19,7.26,0.26,17.290000000000003
051011521000,Powiat brzeziński,Nieznane,2023,3.3,13.65,6.56,0.27,10.350000000000001
051011521000,Powiat brzeziński,Nieznane,2024,3.9,14.88,5.12,0.2,10.98
061813302000,Powiat brzozowski,Lubelskie,2014,4.8,9.13,4.07,0.2,4.330000000000001
061813302000,Powiat brzozowski,Lubelskie,2015,4.1,8.3,4.49,0.12,4.200000000000001
061813302000,Powiat brzozowski,Lubelskie,2016,3.6,6.21,2.35,0.38,2.61
061813302000,Powiat brzozowski,Lubelskie,2017,3.4,6.38,2.58,0.42,2.98
061813302000,Powiat brzozowski,Lubelskie,2018,3.0,7.4,2.23,0.33,4.4
061813302000,Powiat brzozowski,Lubelskie,2019,4.3,10.1,3.9,0.27,5.8
061813302000,Powiat brzozowski,Lubelskie,2020,4.1,7.94,2.62,0.36,3.8400000000000007
061813302000,Powiat brzozowski,Lubelskie,2021,3.3,11.29,6.18,0.3,7.989999999999999
061813302000,Powiat brzozowski,Lubelskie,2022,4.3,9.08,4.97,0.24,4.78
061813302000,Powiat brzozowski,Lubelskie,2023,4.6,7.14,2.93,0.24,2.54
061813302000,Powiat brzozowski,Lubelskie,2024,4.5,9.48,4.99,0.25,4.98
052615301000,Powiat buski,Nieznane,2014,8.1,30.21,4.66,0.3,22.11
052615301000,Powiat buski,Nieznane,2015,9.4,10.57,4.1,0.33,1.17
052615301000,Powiat buski,Nieznane,2016,8.4,14.87,3.43,0.37,6.469999999999999
052615301000,Powiat buski,Nieznane,2017,7.4,14.64,2.56,0.3,7.24
052615301000,Powiat buski,Nieznane,2018,7.2,14.32,4.63,0.24,7.12
052615301000,Powiat buski,Nieznane,2019,7.6,17.06,3.37,0.39,9.459999999999999
052615301000,Powiat buski,Nieznane,2020,8.3,12.41,3.81,0.23,4.109999999999999
052615301000,Powiat buski,Nieznane,2021,6.3,14.74,5.47,0.23,8.440000000000001
052615301000,Powiat buski,Nieznane,2022,10.7,15.83,5.9,0.23,5.130000000000001
052615301000,Powiat buski,Nieznane,2023,11.2,18.94,4.84,0.1,7.740000000000002
052615301000,Powiat buski,Nieznane,2024,8.2,10.53,4.1,0.19,2.33
040410603000,Powiat bydgoski,Kujawsko-Pomorskie,2014,3.8,16.24,9.54,0.21,12.439999999999998
040410603000,Powiat bydgoski,Kujawsko-Pomorskie,2015,2.9,14.49,8.28,0.17,11.59
040410603000,Powiat bydgoski,Kujawsko-Pomorskie,2016,3.3,14.93,7.91,0.31,11.629999999999999
040410603000,Powiat bydgoski,Kujawsko-Pomorskie,2017,3.5,13.53,7.46,0.25,10.03
040410603000,Powiat bydgoski,Kujawsko-Pomorskie,2018,2.6,12.99,5.93,0.12,10.39
040410603000,Powiat bydgoski,Kujawsko-Pomorskie,2019,2.9,14.14,6.01,0.17,11.24
040410603000,Powiat bydgoski,Kujawsko-Pomorskie,2020,3.7,13.17,5.78,0.21,9.469999999999999
040410603000,Powiat bydgoski,Kujawsko-Pomorskie,2021,3.2,14.55,6.35,0.23,11.350000000000001
040410603000,Powiat bydgoski,Kujawsko-Pomorskie,2022,4.7,14.17,6.08,0.23,9.469999999999999
040410603000,Powiat bydgoski,Kujawsko-Pomorskie,2023,4.3,13.87,6.5,0.18,9.57
040410603000,Powiat bydgoski,Kujawsko-Pomorskie,2024,5.3,12.37,5.84,0.13,7.069999999999999
042214101000,Powiat bytowski,Kujawsko-Pomorskie,2014,5.2,15.66,5.49,0.74,10.46
042214101000,Powiat bytowski,Kujawsko-Pomorskie,2015,5.5,15.14,5.29,0.62,9.64
042214101000,Powiat bytowski,Kujawsko-Pomorskie,2016,4.2,14.31,5.19,0.48,10.11
042214101000,Powiat bytowski,Kujawsko-Pomorskie,2017,5.7,11.8,4.09,0.3,6.1000000000000005
042214101000,Powiat bytowski,Kujawsko-Pomorskie,2018,4.9,17.28,4.17,0.43,12.38
042214101000,Powiat bytowski,Kujawsko-Pomorskie,2019,5.1,15.78,4.93,0.53,10.68
042214101000,Powiat bytowski,Kujawsko-Pomorskie,2020,3.9,16.83,6.57,0.35,12.929999999999998
042214101000,Powiat bytowski,Kujawsko-Pomorskie,2021,4.5,16.64,6.98,0.34,12.14
042214101000,Powiat bytowski,Kujawsko-Pomorskie,2022,6.5,16.16,6.36,0.38,9.66
042214101000,Powiat bytowski,Kujawsko-Pomorskie,2023,5.4,14.55,5.41,0.31,9.15
042214101000,Powiat bytowski,Kujawsko-Pomorskie,2024,5.0,25.48,5.66,0.31,20.48
012415001000,Powiat będziński,Nieznane,2014,4.0,27.89,12.85,0.89,23.89
012415001000,Powiat będziński,Nieznane,2015,3.2,23.79,12.62,0.74,20.59
012415001000,Powiat będziński,Nieznane,2016,2.7,21.44,9.94,0.77,18.740000000000002
012415001000,Powiat będziński,Nieznane,2017,2.5,29.01,11.17,0.66,26.51
012415001000,Powiat będziński,Nieznane,2018,1.6,38.84,12.95,0.68,37.24
012415001000,Powiat będziński,Nieznane,2019,2.1,34.76,17.65,0.61,32.66
012415001000,Powiat będziński,Nieznane,2020,2.2,40.58,16.4,0.55,38.379999999999995
012415001000,Powiat będziński,Nieznane,2021,1.8,29.42,12.92,0.56,27.62
012415001000,Powiat będziński,Nieznane,2022,2.5,41.02,13.89,0.64,38.52
012415001000,Powiat będziński,Nieznane,2023,2.7,38.71,11.95,0.41,36.01
012415001000,Powiat będziński,Nieznane,2024,3.9,28.09,9.92,0.53,24.19
040410704000,Powiat chełmiński,Kujawsko-Pomorskie,2014,4.2,13.71,4.56,0.46,9.510000000000002
040410704000,Powiat chełmiński,Kujawsko-Pomorskie,2015,3.4,13.48,6.46,0.31,10.08
040410704000,Powiat chełmiński,Kujawsko-Pomorskie,2016,3.5,12.9,5.1,0.23,9.4
040410704000,Powiat chełmiński,Kujawsko-Pomorskie,2017,2.7,13.62,2.78,0.27,10.919999999999998
040410704000,Powiat chełmiński,Kujawsko-Pomorskie,2018,3.1,14.38,4.31,0.21,11.280000000000001
040410704000,Powiat chełmiński,Kujawsko-Pomorskie,2019,3.2,14.01,5.31,0.35,10.809999999999999
040410704000,Powiat chełmiński,Kujawsko-Pomorskie,2020,2.7,13.34,5.07,0.16,10.64
040410704000,Powiat chełmiński,Kujawsko-Pomorskie,2021,2.3,15.94,6.63,0.18,13.64
040410704000,Powiat chełmiński,Kujawsko-Pomorskie,2022,2.9,18.73,10.52,0.16,15.83
040410704000,Powiat chełmiński,Kujawsko-Pomorskie,2023,3.3,15.48,7.75,0.22,12.18
040410704000,Powiat chełmiński,Kujawsko-Pomorskie,2024,3.8,27.9,15.84,0.18,24.099999999999998
060611003000,Powiat chełmski,Lubelskie,2014,5.4,16.75,6.06,0.42,11.35
060611003000,Powiat chełmski,Lubelskie,2015,4.9,14.77,4.68,0.35,9.87
060611003000,Powiat chełmski,Lubelskie,2016,4.2,13.02,3.65,0.39,8.82
